Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Cell Info,,,,,,,,,
2.422081,1.704683,1.683108,1.659295,2.927702,2.761825,1.741799,1.62653,1.995889,1.914732,1.100764,2.468595,2.726016,1.699656,1.855503,2.347898,2.258448,2.13997,1.836271,1.710693,1.757718,2.17321,2.054703,3.382253
2.277512,1.565052,1.554075,1.495215,2.679986,2.535798,1.633192,1.573595,1.972771,1.875055,1.086022,2.439332,2.67262,1.58798,1.831143,2.275922,2.142834,1.991468,1.679519,1.565433,1.651911,2.120596,2.011615,3.342096
2.227813,1.767351,1.702064,1.493586,2.543275,2.316005,1.550606,1.529417,1.903477,1.868439,1.058848,2.377344,2.650071,1.497686,1.779348,2.149645,2.061289,1.828852,1.568369,1.439659,1.559022,2.048106,1.994557,3.277977
2.190157,2.104886,1.94542,1.660914,2.532259,2.157837,1.505858,1.493788,1.755722,1.808329,1.023579,2.316335,2.606689,1.430971,1.724591,2.031345,1.947339,1.696075,1.482671,1.391964,1.515596,1.998497,1.944353,3.203512
2.241718,2.107512,1.939476,1.63995,2.470443,2.061343,1.529228,1.428029,1.697697,1.785438,1.022133,2.314121,2.600425,1.387551,1.708036,1.946258,1.872823,1.625685,1.484312,1.48448,1.549215,1.976725,1.962767,3.153163
2.25148,1.710064,1.667863,1.496111,2.36813,1.929069,1.45579,1.410527,1.627723,1.760507,1.010839,2.284374,2.577666,1.31816,1.690922,1.851889,1.777448,1.57312,1.433759,1.35772,1.463089,1.933065,1.914042,3.144143
2.173467,1.404878,1.414193,1.349522,2.213571,1.816314,1.322538,1.293182,1.507976,1.738071,1.010532,2.250464,2.579622,1.268879,1.654335,1.817138,1.727653,1.504567,1.390432,1.226062,1.35093,1.919386,1.90075,3.11392
2.032542,1.259497,1.255536,1.254331,2.092383,1.740772,1.22387,1.209486,1.490818,1.717577,0.999754,2.218642,2.601347,1.216582,1.607345,1.751708,1.687527,1.454458,1.325288,1.154687,1.288091,1.889055,1.899054,3.076951
1.922696,1.179923,1.195658,1.196303,1.9447,1.673832,1.207307,1.162442,1.432632,1.682693,0.974543,2.181338,2.599782,1.161018,1.553704,1.689999,1.654699,1.387582,1.282374,1.142261,1.263731,1.841043,1.878349,3.002053
1.946875,1.154326,1.168231,1.186258,1.822938,1.567922,1.174736,1.12521,1.410187,1.672004,0.983921,2.172158,2.559525,1.148324,1.550946,1.66983,1.620143,1.334604,1.278806,1.140552,1.256728,1.819934,1.8543,3.008901
1.955287,1.169395,1.147036,1.205143,1.779543,1.519669,1.184728,1.133232,1.407766,1.673585,0.99781,2.157193,2.549853,1.190005,1.546982,1.655244,1.605009,1.303853,1.302051,1.136759,1.263821,1.831743,1.859179,2.982709
1.935303,1.15283,1.138813,1.219366,1.720657,1.424148,1.175914,1.112528,1.373809,1.649964,0.996559,2.112257,2.496212,1.144966,1.561346,1.614535,1.576473,1.214384,1.272241,1.093509,1.258665,1.803709,1.853508,2.927054
1.891849,1.159178,1.143018,1.149815,1.582569,1.372653,1.16339,1.13121,1.319698,1.655277,0.970764,2.102824,2.458995,1.117285,1.528358,1.580976,1.519015,1.204166,1.239637,1.076052,1.218311,1.749004,1.837385,2.909818
1.802265,1.143562,1.117578,1.071845,1.548174,1.308339,1.134935,1.103675,1.301494,1.643567,0.974068,2.067683,2.432182,1.103104,1.509329,1.547199,1.498744,1.179419,1.207383,1.073426,1.190371,1.734498,1.816305,2.873558
1.770625,1.126636,1.113779,1.040369,1.447572,1.313447,1.127299,1.108316,1.294032,1.64665,0.96183,2.043076,2.390526,1.053997,1.520845,1.582001,1.487856,1.193127,1.244216,1.045609,1.202293,1.723246,1.807255,2.863734
1.708568,1.117225,1.091673,1.010218,1.411139,1.269743,1.134596,1.114083,1.260091,1.613153,0.956469,2.017895,2.322275,1.031226,1.485843,1.573759,1.485571,1.164053,1.222167,1.029678,1.211579,1.68473,1.798607,2.790411
1.643883,1.140174,1.10073,1.022783,1.392578,1.232583,1.13721,1.096201,1.238021,1.590627,0.947832,2.007768,2.311609,1.009931,1.488952,1.520709,1.512228,1.128636,1.192888,1.021133,1.211281,1.685011,1.794407,2.767502
1.597592,1.09573,1.085492,1.014663,1.347375,1.219057,1.116312,1.102292,1.261385,1.595815,0.948648,1.986209,2.292774,1.009505,1.486933,1.518297,1.450013,1.146033,1.221135,1.034446,1.20037,1.641558,1.788857,2.762963
1.594381,1.068788,1.065555,0.994792,1.312161,1.219231,1.130706,1.096774,1.274429,1.58216,0.945726,1.969541,2.255823,1.021203,1.502124,1.499141,1.439633,1.13509,1.220098,1.015652,1.181123,1.641542,1.791005,2.754537
1.572016,1.049652,1.050468,0.992055,1.331536,1.210308,1.131894,1.100683,1.287039,1.570876,0.965281,1.958777,2.213112,1.052274,1.53593,1.524425,1.448254,1.153333,1.20609,1.037852,1.17842,1.656383,1.814475,2.747859
1.507738,0.979833,0.974932,0.946873,1.29273,1.190583,1.092548,1.082862,1.236697,1.530422,0.924359,1.925821,2.195123,1.011392,1.485471,1.495069,1.401084,1.107163,1.194232,1.003974,1.170612,1.662545,1.773741,2.707658
1.44329,0.941893,0.952847,0.942,1.299581,1.201034,1.103748,1.050484,1.215453,1.544221,0.928497,1.882674,2.220268,1.017107,1.477888,1.498179,1.388994,1.113052,1.213345,1.017305,1.151523,1.65378,1.755755,2.65398
1.404424,0.929886,0.941488,0.930502,1.286865,1.224449,1.10675,1.068354,1.256387,1.557517,0.936439,1.911208,2.24591,1.035768,1.471361,1.519764,1.374155,1.152955,1.193964,1.019508,1.158199,1.62267,1.776709,2.601083
1.428184,0.937936,0.963439,0.934459,1.266849,1.216236,1.101669,1.067085,1.286094,1.565579,0.938062,1.929111,2.256905,1.040054,1.486708,1.534435,1.389155,1.167038,1.2205,1.037693,1.163773,1.590153,1.770548,2.617055
1.402963,0.930305,0.960459,0.97408,1.258644,1.220804,1.105984,1.073331,1.291505,1.551944,0.952917,1.934955,2.24221,1.050164,1.480577,1.509451,1.395913,1.172542,1.225869,1.036612,1.163882,1.550581,1.784867,2.605888
1.350948,0.894064,0.929004,0.955927,1.250522,1.22154,1.106245,1.077848,1.259866,1.535739,0.93887,1.886422,2.197685,1.029328,1.493603,1.501054,1.397391,1.165371,1.195748,1.016619,1.15285,1.512779,1.760604,2.56524
1.320805,0.907968,0.92617,0.953818,1.262622,1.222117,1.098212,1.079135,1.265086,1.536689,0.95056,1.875317,2.172977,1.0143,1.477502,1.481412,1.405165,1.168365,1.217127,1.038327,1.163419,1.495442,1.764767,2.560263
1.29322,0.893701,0.917662,0.948325,1.213173,1.203563,1.094862,1.073558,1.233521,1.513565,0.947389,1.86374,2.161801,1.021587,1.46476,1.440797,1.394932,1.159333,1.213682,1.031593,1.155968,1.480721,1.753665,2.525368
1.275501,0.90098,0.907009,0.941026,1.222767,1.201519,1.080457,1.064761,1.235718,1.506635,0.939577,1.849686,2.137609,1.023704,1.469749,1.4422,1.365527,1.113414,1.188649,1.022416,1.139184,1.47649,1.743309,2.526096
1.262174,0.900122,0.906446,0.940738,1.253132,1.216793,1.080994,1.059444,1.239389,1.503459,0.953045,1.813915,2.153641,1.025549,1.466386,1.462762,1.351967,1.105768,1.212387,1.021591,1.127827,1.480959,1.732417,2.558128
1.245056,0.912512,0.937565,0.937645,1.433789,1.361068,1.081536,1.062688,1.271402,1.502666,0.956955,1.802667,2.150578,1.02875,1.464178,1.450588,1.339054,1.150959,1.201674,1.035613,1.132586,1.481274,1.732629,2.492486
