Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Cell Info,,,,,,,,,
1.361049,0.998314,0.975855,1.047051,1.261977,1.000295,0.964029,0.987678,0.939213,0.996049,0.804328,1.044192,0.992933,0.862753,1.137394,1.20605,1.034786,1.024682,1.11984,0.972372,1.03064,1.016716,0.987192,1.184543
1.390414,1.007126,0.976518,1.047305,1.247808,1.003571,0.959448,0.977439,0.962461,0.996236,0.774456,1.045377,0.985094,0.863725,1.139407,1.215672,1.019941,1.020785,1.134854,0.983575,1.054642,1.027013,0.987256,1.15414
1.342679,0.97092,0.951805,1.038713,1.235661,0.991076,0.988511,0.980264,0.932298,0.973427,0.756577,1.024815,0.954247,0.832488,1.134494,1.188918,0.998612,1.008249,1.080875,0.984166,1.118005,1.0035,0.971562,1.127633
1.346554,0.997157,0.961666,1.064319,1.267603,0.993037,1.036784,1.027613,0.945598,0.985721,0.75307,1.044442,0.946349,0.868664,1.127032,1.214198,1.014944,1.006077,1.132978,1.017879,1.128426,1.022539,0.976908,1.142584
1.376616,0.985774,0.951999,1.04797,1.272193,1.003018,1.070882,1.091113,0.956843,1.000803,0.775715,1.034922,0.9663,0.873446,1.128522,1.221778,1.017245,1.012245,1.141412,1.017849,1.111432,1.003046,0.976709,1.142259
1.36729,1.006769,0.971413,1.059507,1.280629,0.998083,1.072422,1.206306,0.97327,0.985384,0.788866,1.050694,0.953648,0.8639,1.13323,1.208705,1.031649,1.047102,1.103622,1.009589,1.126215,1.026439,0.984669,1.135567
1.346585,1.005869,0.967544,1.042259,1.315163,1.011835,1.123546,1.234876,0.97708,0.976498,0.768663,1.040712,0.943329,0.860716,1.146928,1.212637,1.072359,1.057172,1.093828,1.015217,1.13745,1.015612,0.967178,1.141063
1.351023,1.011538,0.975577,1.065546,1.321616,1.000414,1.129556,1.202433,0.982413,0.982092,0.775424,1.02969,0.949546,0.864412,1.137297,1.235225,1.052637,1.061877,1.107661,1.020341,1.152201,1.028894,0.971685,1.154404
1.400642,1.012073,0.984736,1.053993,1.295227,1.032173,1.084522,1.103602,1.006379,0.987984,0.787402,1.029451,0.954367,0.853283,1.153847,1.237074,1.024827,1.053111,1.133025,1.029026,1.123218,1.026161,0.966909,1.142574
1.405279,1.012273,0.976447,1.013041,1.260855,1.021941,1.037627,1.064438,0.955405,0.985423,0.759367,1.020117,0.94563,0.860048,1.128578,1.233104,1.025364,1.056625,1.086542,1.000786,1.075675,1.019955,0.969656,1.142488
1.41148,1.0114,0.973354,1.045191,1.253611,1.005542,0.989759,1.017672,0.929861,0.976868,0.761118,1.027066,0.944804,0.868131,1.130388,1.224237,1.050595,1.041387,1.119017,1.007067,1.053785,1.030185,0.967075,1.152274
1.418779,0.994205,0.955782,1.024255,1.259259,1.010574,0.953313,0.969849,0.949063,0.964894,0.763254,1.026257,0.934494,0.859823,1.124692,1.226325,1.041769,1.025741,1.113811,0.975753,1.030421,1.014405,0.963233,1.143361
1.378362,0.993369,0.969706,1.023988,1.255327,0.989567,0.947208,0.967972,0.920163,0.960167,0.769814,1.034867,0.925979,0.851383,1.139496,1.207594,1.01253,1.039154,1.101407,0.956525,1.031433,1.012808,0.958159,1.127564
1.362238,0.994152,0.966443,1.016259,1.248811,0.976376,0.951335,0.966831,0.918014,0.950395,0.743766,1.007749,0.939961,0.851612,1.119362,1.198357,1.061645,1.026294,1.154557,0.972727,1.030725,1.009211,0.96322,1.145768
1.327437,1.006488,0.950786,1.034379,1.228161,1.005866,0.96931,0.991821,0.923672,0.961148,0.762446,1.023133,0.936506,0.84648,1.124759,1.215043,1.050845,1.028445,1.173923,1.013747,1.02839,1.016393,0.971706,1.136095
1.324312,0.99923,0.951257,1.014721,1.219578,0.975956,0.952951,0.982912,0.939996,0.952403,0.760237,1.012049,0.918517,0.847199,1.108589,1.189611,1.046003,1.008072,1.134173,1.006413,1.033061,1.004805,0.94896,1.110346
1.310466,0.978631,0.948993,1.022911,1.221306,0.972885,0.997066,1.002868,0.911966,0.959848,0.738975,1.020855,0.922264,0.828993,1.079076,1.20035,1.003005,1.012302,1.129174,1.005818,1.027144,0.99463,0.959212,1.104891
1.328612,0.981683,0.943086,1.005582,1.253439,0.970835,0.992026,1.021076,0.919208,0.966734,0.740158,1.026823,0.926909,0.833039,1.11109,1.197505,0.992671,1.025147,1.107719,0.998916,1.046,1.010685,0.957888,1.118804
1.305956,0.979757,0.939519,1.00115,1.225642,0.97091,1.004837,1.028996,0.956282,0.968754,0.753463,1.021918,0.934722,0.826524,1.08017,1.185097,0.971159,1.01255,1.090046,0.995646,1.042662,1.000319,0.94009,1.109764
1.331689,0.994818,0.952869,1.024761,1.2283,0.96953,1.058047,1.059287,0.968694,0.959372,0.737923,1.020508,0.929573,0.838557,1.095343,1.195513,1.011848,1.004659,1.081977,1.005425,1.093796,1.017113,0.963207,1.105765
1.323863,0.999778,0.962451,1.012055,1.256794,1.002009,1.07089,1.140373,0.95397,0.962576,0.747266,1.020078,0.923856,0.847741,1.086532,1.203952,1.013477,1.026867,1.117312,1.032899,1.11535,1.009772,0.953595,1.112426
1.344094,0.99566,0.964851,1.02231,1.291104,1.010805,1.11431,1.148278,0.93774,0.958347,0.760387,1.012481,0.94944,0.84642,1.095615,1.210142,1.006359,1.003985,1.101369,1.02381,1.101335,1.005643,0.953209,1.12344
1.342991,0.992749,0.95183,1.014466,1.26125,0.998342,1.037407,1.11533,0.92211,0.965254,0.776134,1.011369,0.915824,0.849343,1.113547,1.208206,0.978225,1.01216,1.120062,0.994597,1.062868,0.998788,0.945361,1.107903
1.348164,1.007604,0.979777,1.029528,1.294577,1.008715,1.00998,1.046876,0.956489,0.966319,0.743218,1.020696,0.914741,0.845544,1.11673,1.201097,0.979839,1.017329,1.061862,0.967988,1.064484,1.006472,0.953914,1.114771
1.347664,1.007779,0.97796,1.027077,1.29238,0.999359,0.974397,0.974189,0.944566,0.950389,0.755606,1.022035,0.91926,0.837762,1.10277,1.198757,1.008369,1.042182,1.048959,0.947294,1.042892,1.009357,0.952546,1.126891
1.358035,1.014356,0.966378,1.028382,1.269379,0.998638,0.977729,0.969829,0.945488,0.973147,0.76835,1.015631,0.933635,0.851875,1.097472,1.218369,1.019432,1.001227,1.074606,0.952037,1.054444,1.004342,0.956349,1.110153
1.350316,0.995803,0.966989,1.029515,1.337235,1.011449,0.995058,0.986577,0.960333,0.971379,0.744834,1.031502,0.93766,0.849087,1.083645,1.215451,1.033277,1.023539,1.079428,0.987924,1.073585,1.01755,0.957814,1.106948
1.326634,1.008814,0.964562,1.061417,1.306176,1.006526,0.958919,0.961535,0.95491,0.961517,0.758183,1.029139,0.924356,0.83326,1.080474,1.218301,1.058626,1.011274,1.083798,0.948931,1.016608,0.994877,0.959397,1.09725
1.330606,1.008996,0.98058,1.0539,1.291391,0.987827,0.944047,0.961826,0.952572,0.954494,0.763038,1.026504,0.929198,0.832019,1.075412,1.209704,1.044119,1.013217,1.067488,0.944282,1.019143,1.008073,0.945733,1.110476
1.335828,0.985935,0.948097,1.02129,1.274185,0.987639,0.94522,0.954318,0.936971,0.947756,0.740421,1.002828,0.917746,0.834997,1.076529,1.188327,0.983957,1.001862,1.044776,0.959713,1.014561,1.005187,0.93184,1.088184
1.34348,0.995996,0.960308,1.028195,1.276099,1.007427,0.980556,0.968037,0.932873,0.953424,0.76263,1.005976,0.934921,0.823984,1.089956,1.193253,0.968358,1.017243,1.06571,0.96533,1.04727,0.999593,0.946193,1.090058
1.375854,1.002814,0.965127,1.040701,1.278403,1.00259,1.016498,0.987489,0.947008,0.96839,0.765776,1.013365,0.955107,0.84728,1.106279,1.217244,1.000957,1.028743,1.1321,1.020717,1.132516,1.016038,0.9475,1.10281
1.399915,1.020425,0.986693,1.053739,1.274184,0.999508,1.037802,1.047251,0.946769,0.973922,0.766913,1.027629,0.959651,0.86164,1.106666,1.216802,1.008318,1.048518,1.134589,1.040265,1.129034,1.023503,0.959564,1.105814
1.386521,1.004775,0.973877,1.057802,1.305062,1.009618,1.064026,1.07219,0.9522,0.963061,0.777588,1.042531,0.953697,0.848694,1.104514,1.208601,1.063018,1.009837,1.122714,1.036352,1.114678,1.015401,0.959473,1.099222
1.404852,1.019182,0.987199,1.067728,1.298823,1.011099,1.051593,1.079992,1.254249,0.97247,0.781465,1.041704,0.95436,0.848445,1.102362,1.210453,1.057903,1.048992,1.121907,1.007635,1.089645,1.018125,0.96824,1.125881
1.419524,1.010526,0.975661,1.068563,1.296525,1.028572,1.020047,1.070675,1.09133,0.971842,0.770295,1.033783,0.962461,0.854973,1.089934,1.20676,1.019494,1.054725,1.120754,0.995949,1.059684,1.01004,0.954503,1.115494
1.42871,1.014546,0.982436,1.053185,1.321246,1.033233,0.973305,1.018004,0.984263,0.958647,0.771574,1.038361,0.969036,0.855065,1.073792,1.199983,0.985341,1.037027,1.112844,0.982543,1.051165,1.020031,0.958023,1.108197
1.385977,1.012612,0.993145,1.067316,1.33221,1.026805,0.971141,1.002333,0.947584,0.954589,0.793544,1.044055,0.974819,0.850198,1.099408,1.19908,0.983538,1.032381,1.103841,0.976023,1.017727,1.022615,0.954383,1.130499
1.407002,1.007807,0.974632,1.059823,1.314651,1.00494,0.941506,0.999704,0.94106,0.9618,0.767381,1.016919,0.967882,0.834649,1.074877,1.197273,0.973139,1.053411,1.093204,0.939709,1.02067,1.012481,0.949655,1.119671
1.399076,1.012737,0.990859,1.051661,1.299785,1.001302,0.960905,0.996879,0.947406,0.950657,0.767611,1.013744,0.961599,0.845769,1.075669,1.188635,0.994343,1.052673,1.097073,0.952084,1.023913,1.01203,0.951033,1.133577
1.402833,1.013173,0.973332,1.076215,1.271202,0.983799,0.960441,0.988169,0.913193,0.957082,0.748397,1.014093,0.956023,0.844418,1.072298,1.199093,1.012098,1.009552,1.097081,0.944026,1.009443,0.998557,0.941695,1.11042
1.427303,1.012222,0.966471,1.056623,1.26861,0.957319,0.973717,0.983561,0.942259,0.945546,0.758253,1.0126,0.93623,0.841758,1.066344,1.185763,0.985058,1.010096,1.114748,0.953194,1.070987,1.004028,0.936452,1.098354
1.453779,1.023438,0.994052,1.061836,1.261899,0.991298,0.988409,0.967502,0.915054,0.94332,0.734155,1.012425,0.927878,0.81755,1.083192,1.189652,1.003735,1.009872,1.101942,0.959179,1.054006,0.996989,0.950018,1.09072
1.466478,1.015319,0.973618,1.055995,1.262094,0.966034,0.982097,0.972059,0.922795,0.946762,0.743526,1.010856,0.949589,0.829334,1.069114,1.192027,1.018245,0.99992,1.093849,0.979008,1.065043,0.999622,0.937358,1.098566
1.434216,1.007599,0.973692,1.060275,1.269084,0.987342,0.986288,0.964606,0.946342,0.94208,0.741218,1.017487,0.936887,0.837528,1.059866,1.199282,0.980865,0.993282,1.059025,0.99325,1.090697,0.99838,0.946474,1.08982
1.424173,1.006718,0.966299,1.062083,1.249312,0.996722,0.987259,0.962281,0.947076,0.938639,0.735984,1.022567,0.925324,0.84691,1.054684,1.202517,0.96017,0.990622,1.058917,0.980006,1.053957,1.000854,0.936379,1.103661
1.454808,1.002526,0.957056,1.058307,1.24855,0.995126,0.949672,0.960388,0.916909,0.940896,0.743643,1.009707,0.935643,0.858984,1.07736,1.195717,0.966097,1.005878,1.076713,0.959473,1.012532,1.001677,0.935643,1.087425
1.46939,0.995004,0.95483,1.042103,1.227898,0.984188,0.93608,0.97086,0.961961,0.940338,0.748793,1.015755,0.939195,0.849708,1.055902,1.203888,0.962452,1.015291,1.091661,0.952406,1.006999,1.007075,0.950209,1.095256
1.451192,1.037896,0.97739,1.063108,1.26316,0.975762,0.932504,0.959058,0.915897,0.951528,0.756657,1.01341,0.937465,0.86162,1.067514,1.210674,0.983659,1.007845,1.106797,0.962797,0.997344,1.016554,0.936589,1.109351
1.437917,1.019854,0.981341,1.074446,1.26176,0.975625,0.971828,0.968525,0.960555,0.966384,0.777983,1.023351,0.946469,0.872329,1.065208,1.22245,0.983786,1.010004,1.120808,0.960008,1.030865,1.00622,0.961253,1.114295
1.429468,0.99946,0.977579,1.041344,1.235264,1.002051,0.940463,0.962599,0.912201,0.960764,0.763384,1.008597,0.935316,0.858609,1.04682,1.20489,0.968501,0.998639,1.096251,0.955191,0.983211,0.990959,0.93987,1.103952
1.425162,0.99175,0.958546,1.046058,1.221096,0.970896,0.936521,0.959111,0.906371,0.933315,0.76061,1.000477,0.910815,0.852051,1.048242,1.200533,0.949023,0.997763,1.089414,0.933038,0.999631,0.992778,0.939978,1.106214
1.419216,1.009418,0.963622,1.049618,1.25645,0.966137,0.940754,0.977812,0.921665,0.948478,0.775229,1.017422,0.909248,0.850205,1.029487,1.209712,0.95723,1.005341,1.062864,0.95349,1.009628,1.000246,0.937592,1.104987
1.447111,1.012452,0.972228,1.034108,1.249898,0.970007,0.939036,0.958353,0.907206,0.941287,0.754442,1.003205,0.903362,0.849361,1.0469,1.202378,1.005677,0.990479,1.077465,0.937623,1.020726,0.994261,0.945688,1.104455
1.385454,0.995159,0.976484,1.03028,1.243231,0.958855,0.968677,0.987811,0.915698,0.930942,0.773122,1.011418,0.897103,0.840328,1.045393,1.188985,0.971464,0.992495,1.056778,0.945294,1.055179,0.994835,0.928777,1.095811
1.421773,1.011968,0.972892,1.044736,1.236119,0.960995,0.983076,0.966435,0.954333,0.938735,0.761564,1.005425,0.893546,0.824676,1.043268,1.198835,0.965765,0.982708,1.097553,0.956308,1.046594,0.991518,0.940709,1.080578
1.393426,1.004901,0.961232,1.052741,1.249625,0.975406,0.989983,0.987387,0.965029,0.943285,0.75272,1.011275,0.909582,0.840891,1.047852,1.194441,0.950068,0.986122,1.095414,0.954874,1.054786,0.993586,0.931935,1.1033
1.388604,0.985773,0.946667,1.006764,1.253618,0.979173,1.003979,0.987597,0.953465,0.933325,0.712488,1.011736,0.875956,0.826746,1.035763,1.198171,0.947383,0.972729,1.05784,0.941215,1.055905,0.980537,0.928411,1.094658
1.361159,0.976169,0.932246,1.018451,1.221409,0.956674,0.984379,0.98434,0.897114,0.919252,0.722176,1.00116,0.883282,0.807799,1.010429,1.182241,0.947922,0.968937,1.034802,0.950797,1.044556,0.972488,0.912888,1.087746
1.35861,0.988491,0.950716,1.019579,1.266185,0.943472,0.983293,0.9899,0.90396,0.936737,0.743669,1.009096,0.884954,0.840957,1.006413,1.194089,0.955187,0.957432,1.034795,0.95189,1.042321,0.981866,0.918066,1.100355
1.36687,0.994981,0.950754,1.081587,1.250911,0.963852,0.988,1.001634,0.909312,0.945431,0.75503,1.011515,0.895469,0.838127,1.022859,1.183697,0.940718,0.976152,1.063271,0.936289,1.01574,0.973598,0.92478,1.098854
1.346239,0.983096,0.947333,1.032515,1.240592,0.966998,0.964986,1.002551,0.895512,0.941977,0.762579,1.01644,0.891392,0.828116,1.003533,1.193103,0.959445,0.956639,1.058454,0.930154,1.015721,0.984014,0.923134,1.103639
1.356289,0.994038,0.954643,1.039008,1.23692,0.938389,0.954057,0.979013,0.901701,0.925014,0.736138,1.006065,0.883283,0.837919,0.999357,1.187835,0.93924,0.946091,1.074197,0.91998,0.99219,0.979267,0.914117,1.079843
1.352902,0.996169,0.952249,1.043913,1.262242,0.974387,0.95059,0.971734,0.923493,0.932819,0.750943,0.998704,0.888777,0.836536,1.026412,1.20513,0.943511,0.970712,1.053069,0.920352,1.00215,0.994651,0.927101,1.09818
1.324189,0.995798,0.960185,1.037417,1.237166,0.979888,0.938207,0.966614,0.925911,0.935847,0.745563,0.993254,0.89327,0.840669,1.023151,1.192463,0.932283,0.967346,1.057532,0.917593,0.976159,0.978776,0.923508,1.08515
1.333517,0.989586,0.95071,1.034568,1.273075,0.96184,0.930253,0.966809,0.91681,0.927697,0.728668,1.00179,0.900363,0.824381,1.032815,1.185287,0.97132,0.946607,1.044209,0.901501,0.986983,0.980823,0.912089,1.084215
1.342239,0.997271,0.962485,1.052264,1.262821,0.968405,0.964662,0.972015,0.93893,0.932876,0.756558,0.999745,0.891298,0.845308,1.019257,1.209203,0.983973,0.990397,1.042442,0.9388,1.002852,1.011335,0.925719,1.102944
1.393188,1.024,0.960378,1.026815,1.237219,0.964236,0.950177,0.964565,0.925456,0.927298,0.746009,1.006099,0.895877,0.835273,1.00729,1.211047,0.963708,0.984342,1.056348,0.92893,1.037259,0.984207,0.917286,1.082416
1.389234,0.995124,0.946009,1.078531,1.257065,0.978442,0.959113,0.981504,0.939478,0.927471,0.755799,1.000033,0.954802,0.832629,0.991071,1.2,0.98629,0.981594,1.043937,0.946605,1.032468,0.974273,0.914179,1.091084
1.378518,1.011136,0.959647,1.073603,1.246332,0.948074,0.979743,0.987158,0.974254,0.94272,0.747028,1.003905,0.957634,0.840916,1.011203,1.204146,0.963585,0.979543,1.076665,0.961696,1.054412,0.987537,0.909352,1.100848
1.387196,1.00436,0.963796,1.068814,1.228125,0.959071,0.997887,1.0246,0.925985,0.950369,0.755748,1.015243,0.920698,0.838101,1.032974,1.22237,0.945674,0.994472,1.07213,0.95436,1.065804,0.985815,0.933128,1.110927
1.372735,1.009108,0.963434,1.090617,1.241014,0.953612,1.007326,1.009321,0.950212,0.944026,0.777571,1.003647,0.90259,0.855163,1.013968,1.208451,0.965552,1.007259,1.146649,0.965932,1.08734,0.982153,0.920392,1.079747
1.376242,0.997075,0.956987,1.083253,1.243976,0.957736,1.027473,1.04217,0.922418,0.936698,0.770065,1.00455,0.906754,0.847165,1.01515,1.204982,0.947941,0.996681,1.171345,1.001824,1.071107,0.974265,0.934715,1.088395
1.38878,1.013502,0.966838,1.094028,1.27712,0.979997,0.995013,1.024673,0.940078,0.943277,0.780868,1.003384,0.916775,0.856736,1.033109,1.198792,0.934378,1.008837,1.117723,0.985012,1.07483,0.992594,0.934475,1.090866
1.362872,1.010681,0.963071,1.083048,1.249433,0.976927,0.996344,1.014015,0.921474,0.934296,0.763189,0.995128,0.903396,0.859545,1.008701,1.196731,0.955031,0.987368,1.108562,0.966486,1.071689,0.975213,0.939466,1.105232
1.340281,1.007126,0.971709,1.086596,1.261349,0.951566,0.984136,0.997346,0.903995,0.936539,0.767645,0.997388,0.897996,0.857582,1.004555,1.192629,0.964236,0.963741,1.072539,0.963957,1.043895,0.966655,0.93053,1.125336
1.34622,0.990622,0.947659,1.091918,1.259948,0.952922,0.972999,0.994514,0.921506,0.927189,0.759177,0.996399,0.906259,0.867342,0.993947,1.208009,0.943541,0.98159,1.048721,0.962294,1.067873,0.956749,0.924704,1.100413
1.340248,0.989119,0.945479,1.065442,1.257069,0.957096,0.975987,0.993056,0.938601,0.929929,0.759209,0.984715,0.899522,0.862146,0.983409,1.202733,0.944203,0.98567,1.039498,0.963411,1.058167,0.961803,0.917515,1.113627
1.390998,1.001928,0.943604,1.069969,1.401207,0.959545,0.976001,0.978233,0.913308,0.92304,0.761109,0.989172,0.900098,0.848234,0.998919,1.20522,0.948042,0.998031,1.031007,0.938905,1.045625,0.973954,0.921341,1.105618
1.42813,0.997005,0.958077,1.057587,1.369646,0.989763,0.968231,0.974883,0.94721,0.934722,0.782873,0.985797,0.895929,0.85019,0.989985,1.208002,0.945973,1.018584,1.022876,0.917923,1.042317,0.976012,0.918622,1.100133
1.433835,1.009325,0.960106,1.054569,1.353895,0.997608,0.968146,0.983783,0.943596,0.950017,0.773738,0.999797,0.891356,0.835192,0.994889,1.191813,0.942609,1.001314,1.035003,0.941376,1.033038,0.960056,0.916052,1.121182
1.392118,1.010288,0.963665,1.070249,1.323678,0.973232,0.975936,0.988539,0.942279,0.953435,0.769337,0.997691,0.913142,0.851897,1.003524,1.215777,0.954003,1.01172,1.082411,0.942484,1.047321,0.965142,0.924186,1.095477
1.356556,0.996172,0.950233,1.058903,1.292581,0.942353,0.945194,0.968601,0.912816,0.948521,0.747945,0.980856,0.883793,0.850036,0.991444,1.192389,0.944361,0.964722,1.094049,0.921055,1.043411,0.955338,0.907711,1.095777
1.350495,0.979801,0.941427,1.021611,1.263693,0.930138,0.961006,0.962264,0.875566,0.938852,0.733932,0.979505,0.862194,0.82914,0.985501,1.193178,0.915559,0.940805,1.069781,0.921637,1.032311,0.938147,0.900867,1.073709
1.406421,1.019471,0.973667,1.050732,1.260456,0.942109,0.996884,0.987858,0.921068,0.92367,0.760938,0.985057,0.879905,0.848886,0.985256,1.202179,0.937742,0.970907,1.047327,0.959219,1.078097,0.95053,0.91176,1.073873
1.416013,1.021147,0.975005,1.087038,1.264107,0.961515,0.997499,0.998859,0.929108,0.951772,0.765064,0.994243,0.896205,0.845904,0.991354,1.21004,0.945251,0.994148,1.084318,0.958062,1.097723,0.960833,0.91975,1.06723
1.428581,1.01129,0.963641,1.077458,1.239527,0.94457,0.991444,1.002107,0.913586,0.946765,0.768376,0.992038,0.893165,0.851244,0.985885,1.202854,0.943526,0.978135,1.071389,0.965657,1.075649,0.951876,0.909407,1.072267
1.459013,1.017195,0.970938,1.08801,1.23435,0.945244,0.996262,1.022514,0.938198,0.948205,0.761014,0.984492,0.902737,0.849696,0.985789,1.215305,0.956609,0.970345,1.086817,0.950134,1.044402,0.967473,0.919844,1.083921
1.454481,1.006485,0.967059,1.075589,1.244234,0.960151,0.977868,0.994053,0.937969,0.925474,0.75655,0.99674,0.904326,0.840047,0.976666,1.196628,0.944843,0.983995,1.087073,0.947427,1.022868,0.953071,0.913986,1.080557
1.475547,1.015755,0.968515,1.078456,1.255275,0.949589,0.962515,0.987572,0.956465,0.946906,0.768864,1.000436,0.895369,0.848757,0.963693,1.201559,0.947059,0.997546,1.078766,0.946406,1.00618,0.957086,0.920808,1.085829
1.4408,1.006359,0.969807,1.052671,1.254324,0.94121,0.959351,0.984673,0.94961,0.928999,0.762188,0.980858,0.885582,0.842771,0.963262,1.201045,0.964453,1.004008,1.060126,0.938062,0.997949,0.960531,0.914792,1.081943
1.446292,1.008365,0.974539,1.05692,1.235378,0.968672,0.960576,1.006815,0.952925,0.929309,0.750434,0.988462,0.886982,0.830746,0.964659,1.19196,0.958661,1.014537,1.064286,0.949846,1.006554,0.942717,0.91712,1.082036
1.474056,1.001545,0.963723,1.060346,1.240591,0.945256,0.960104,0.98499,0.940011,0.934231,0.745713,1.009392,0.902735,0.821196,0.966029,1.198594,0.947842,0.988082,1.069176,0.938573,1.025293,0.942818,0.916717,1.076285
1.443859,0.993911,0.96206,1.068411,1.254482,0.939599,0.957229,0.991114,0.920613,0.934117,0.750261,0.990772,0.880098,0.834197,0.95861,1.186639,0.938917,0.980633,1.102335,0.939115,0.994897,0.93251,0.901291,1.068171
1.452265,1.002534,0.961212,1.042625,1.244937,0.937348,0.961026,0.984554,0.905035,0.933817,0.748802,0.983593,0.88626,0.824563,0.964097,1.18682,0.944391,0.94556,1.138855,0.939957,1.011469,0.94202,0.904931,1.070256
1.419884,1.002668,0.958719,1.058994,1.275505,0.962272,0.95308,0.989587,0.915112,0.93783,0.756084,0.980738,0.87639,0.843079,0.976224,1.197477,0.947127,0.960599,1.113099,0.947709,0.993544,0.938706,0.904239,1.074403
1.426989,1.006857,0.962031,1.046754,1.295064,0.961218,0.938514,0.970479,0.930453,0.926913,0.764924,0.985607,0.886696,0.842913,0.965425,1.189111,0.935255,0.971437,1.080536,0.937322,1.004725,0.941238,0.900325,1.080284
1.37419,0.989996,0.933481,1.026079,1.277427,0.933314,0.941366,0.967422,0.923346,0.917204,0.763387,0.974318,0.871045,0.843066,0.944377,1.180936,0.950791,0.959592,1.073015,0.928062,1.004486,0.93397,0.882417,1.079412
1.404113,0.98338,0.933116,1.024377,1.259641,0.935776,0.95478,0.989212,0.939696,0.905775,0.752477,0.963378,0.878611,0.831501,0.962788,1.176826,0.945595,0.969848,1.057845,0.9311,1.015874,0.935299,0.879546,1.075915
1.424584,0.991171,0.94273,1.019275,1.25092,0.938896,0.964526,0.977073,0.921124,0.910387,0.761136,0.971421,0.88421,0.836374,0.952868,1.18584,0.950074,0.966213,1.060681,0.932355,1.003907,0.933686,0.902251,1.068004
1.418342,0.988956,0.952978,1.015122,1.23491,0.929295,0.962733,1.000097,0.931202,0.913734,0.741323,0.962713,0.889074,0.816563,0.951979,1.191307,0.924203,0.961791,1.046258,0.937995,1.012467,0.92053,0.891442,1.069115
1.417457,0.994029,0.951831,1.015524,1.246805,0.949916,0.982634,0.999915,0.912577,0.92557,0.745253,0.976823,0.87783,0.82694,0.97699,1.18928,0.929624,0.947433,1.0529,0.94121,1.034426,0.929205,0.898398,1.068121
1.408111,1.003598,0.957562,1.016635,1.245803,0.922871,1.002598,0.997593,0.942274,0.923477,0.752836,0.973999,0.892843,0.830859,0.963106,1.202047,0.938927,0.971639,1.076943,0.954454,1.042028,0.925884,0.902584,1.102625
1.3968,0.980735,0.960079,0.990519,1.262617,0.940337,1.002592,1.004591,0.934231,0.917817,0.732035,0.980253,0.871505,0.830162,0.944838,1.187698,0.928981,0.956745,1.102294,0.972314,1.039996,0.934133,0.89783,1.102753
1.411256,1.005381,0.966674,1.0099,1.259213,0.960738,1.003054,1.023833,0.962687,0.914734,0.745256,0.997949,0.888137,0.871381,0.950486,1.184896,0.958225,0.964208,1.067571,0.949178,1.032271,0.930572,0.90131,1.107822
1.435745,1.013786,0.980105,1.013072,1.262191,0.95186,0.976048,1.015235,0.949659,0.920414,0.766515,0.996674,0.881556,0.866212,0.941449,1.193829,0.942852,0.946868,1.057573,0.945038,1.021078,0.934265,0.905514,1.090042
1.446822,1.022427,0.97194,1.028881,1.262177,0.96089,1.004836,1.037367,0.933645,0.933155,0.777777,0.995662,0.890625,0.855672,0.957587,1.198739,0.936773,0.977282,1.087505,0.962555,1.028534,0.948055,0.901226,1.105855
1.452494,1.022561,0.980374,1.013682,1.248195,0.933033,1.004227,1.024371,0.932892,0.911407,0.769157,0.990223,0.861404,0.875241,0.958402,1.192833,0.932365,0.952728,1.045496,0.942347,1.024085,0.937486,0.889537,1.101134
1.442476,1.012337,0.958994,1.028589,1.245944,0.950671,1.030871,1.053908,0.93328,0.933214,0.773884,1.008766,0.883834,0.880872,0.961585,1.213309,0.966077,0.963534,1.075595,0.943897,1.046197,0.935123,0.904446,1.124652
1.43162,1.011141,0.968785,1.026152,1.247106,0.928302,1.022843,1.048221,0.934557,0.929784,0.758704,1.002864,0.892402,0.858157,0.968877,1.193016,0.978593,0.969253,1.086765,0.959071,1.04579,0.92264,0.895702,1.127119
1.41768,0.994187,0.961467,1.007038,1.245181,0.904682,0.988614,1.072272,0.941659,0.935517,0.752448,0.991948,0.874482,0.845518,0.956989,1.205984,0.961214,0.948065,1.063031,0.939155,1.021925,0.915565,0.900162,1.12543
1.402191,0.984577,0.95042,1.003207,1.223966,0.900267,0.972477,1.032199,0.902608,0.906736,0.720947,0.978157,0.869609,0.816467,0.934009,1.18212,0.955267,0.927565,1.181216,0.961195,0.982589,0.908192,0.878321,1.107096
1.391804,0.999528,0.954399,1.038685,1.242576,0.918277,0.973517,1.004868,0.921637,0.923781,0.752134,0.96963,0.877802,0.831771,0.936122,1.188991,0.981915,0.927179,1.154659,1.030545,1.019204,0.918666,0.884003,1.119341
1.392068,0.992436,0.943347,1.043935,1.25527,0.939864,0.966917,1.003219,0.90104,0.902276,0.73164,0.958211,0.879193,0.847468,0.929863,1.188408,0.956507,0.947628,1.081071,0.980873,1.020412,0.901935,0.884236,1.123491
1.411518,0.998588,0.944228,1.061609,1.259654,0.940171,0.954591,0.984022,0.900424,0.901417,0.729791,0.955434,0.889715,0.823543,0.944936,1.193676,0.910633,0.94616,1.053627,0.955377,0.998057,0.915847,0.893028,1.138567
