FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 6 Cell 1,FOV 6 Cell 2,FOV 6 Cell 3,FOV 6 Cell 4,FOV 6 Cell 5,FOV 7 Cell 1,FOV 7 Cell 2,FOV 7 Cell 3,FOV 7 Cell 4,FOV 7 Cell 5,FOV 7 Cell 6,FOV 8 Cell 1,FOV 8 Cell 2,FOV 8 Cell 3,FOV 8 Cell 4,FOV 8 Cell 5,FOV 8 Cell 6,FOV 8 Cell 7,FOV 8 Cell 8,FOV 8 Cell 9,FOV 8 Cell 10,FOV 8 Cell 11,FOV 8 Cell 12,FOV 2 Cell 1,FOV 2 Cell 2,FOV 2 Cell 3,FOV 2 Cell 4,FOV 2 Cell 5,FOV 2 Cell 6,FOV 2 Cell 7,FOV 2 Cell 8,FOV 4 Cell 1,FOV 4 Cell 2,FOV 4 Cell 3,FOV 4 Cell 4,FOV 4 Cell 5,FOV 4 Cell 6,FOV 4 Cell 7,FOV 4 Cell 8,FOV 4 Cell 9,FOV 4 Cell 10,FOV 4 Cell 11,FOV 4 Cell 12,FOV 4 Cell 13,FOV 4 Cell 14,FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 5 Cell 7,FOV 5 Cell 8,FOV 5 Cell 9,FOV 5 Cell 10
1.107517,1.130249,1.133837,1.102845,1.115296,1.103727,1.019334,1.01752,0.999463,0.958163,1.022154,1.007212,1.022356,1.019784,1.022075,1.047116,1.028573,1,1,1,1,1,1,1,1,1,1,1,1,2.03946723,0.892523101,3.364904232,0.888117027,2.700585179,2.992839713,3.515933845,3.296292855,1.735048,1.139741,1.182772,1.570251,1.82002,1.934614,1.830406,1.215693,1.989417,2.893039,1.771968,1.968365,1.956287,2.043757,1.026299,0.964981,1.011074,1.113326,1.04695,0.981196,1.007249,1.04784,1.071037,0.938067
1.100533,1.121126,1.084243,1.081947,1.100945,1.093479,1.015537,1.022112,0.987379,0.969254,1.017523,0.995746,1.011354,1.002311,1.011691,0.96359,0.990978,4.27063,3.295413,4.014728,4.21816,3.692969,3.130039,3.809135,3.57522,3.421389,4.852004,3.666259,4.657664,1.974884286,0.822965154,3.284030728,0.817282413,2.637044163,2.941334455,3.468511394,3.200792348,1.701532,1.157077,1.273715,1.519654,1.833018,1.933671,1.92754,1.313438,1.814963,2.834084,1.697637,1.965122,1.921239,2.039053,1.000723,0.947272,0.939014,1.009426,1.007819,0.979027,0.986715,0.994532,0.942055,0.922519
1.103972,1.143181,1.10138,1.094148,1.103864,1.106383,1.020383,1.010022,0.990389,0.976222,1.015793,1,1,1,1,1,1,4.337585,3.129061,3.888721,4.386369,3.704627,3.425452,3.861384,3.56289,3.33027,4.641405,3.432267,4.680791,1.917744872,0.755300227,3.204686174,0.752092121,2.572318494,2.890878798,3.427659739,3.074746822,1.659592,1.167273,1.251447,1.427049,1.796154,1.904823,1.963584,1.981687,1.635002,2.741541,1.680303,1.906459,1.873591,2.014598,0.998644,0.980836,0.992394,1.01002,1.017913,0.967767,0.989053,1.015325,0.930932,1.008945
1.100435,1.181536,1.093652,1.044148,1.088124,1.070194,1.014365,0.996364,0.985087,0.960725,1.011832,4.176672,1.570941,2.048237,2.814936,2.286661,1.6334,3.786453,2.588526,3.054826,3.889429,3.146819,2.604021,3.335928,3.05695,2.929291,4.026472,2.833696,4.198393,1.90574577,0.731906994,3.171186363,0.716914035,2.540202945,2.869785624,3.420241888,3.013825956,1.632001,1.107941,1.169448,1.311252,1.771601,1.805928,1.909051,1.802649,1.472593,2.669931,1.688697,1.878422,1.823609,1.958255,1,1,1,1,1,1,1,1,1,1
1.100237,1.173984,1.090268,1.039746,1.082312,1.069003,1.00652,1.013633,1.004686,0.958951,1.014613,4.117942,1.340769,1.63302,2.529954,2.790101,2.107195,3.74377,2.753153,2.998872,3.953725,3.175711,2.78945,3.373232,3.102388,3.05001,3.912773,2.763215,4.200079,1.943175019,0.748686267,3.191803145,0.713446568,2.539852657,2.884376579,3.453309376,3.012551461,1.561,1.062738,1.164302,1.290416,1.696017,1.725102,1.908907,1.368345,1.318729,2.565513,1.736388,1.801442,1.779944,1.948392,1.979323,2.175232,1.942274,2.357395,2.670215,2.525816,2.31711,1.67345,2.276567,2.153133
1.071448,1.103342,1.067625,1.032796,1.070819,1.055926,1.013954,1.00261,0.996781,0.973624,1.019442,3.990791,1.166173,1.393747,2.285748,2.735493,1.944227,3.74382,2.918262,2.93331,4.018763,3.209662,2.964196,3.404338,3.120799,3.124661,3.794915,2.740176,4.204402,1.952651375,0.748531336,3.185349003,0.695928139,2.523175155,2.883803317,3.471625039,2.988944782,1.572736,1.072124,1.24215,1.252899,1.7231,1.68361,1.671463,1.20494,1.286227,2.490393,1.919879,1.786346,1.765302,1.927506,2.033673,2.158919,1.891508,2.403143,2.776085,2.541591,2.35701,1.811385,2.311475,2.167435
1.056601,1.069895,1.062052,1.030305,1.070019,1.06839,1.010863,1.006318,0.991898,0.961934,1.013,3.880037,1.038254,1.241324,2.056731,2.560973,1.723571,3.65078,2.937839,2.844749,3.948867,3.178832,3.123117,3.366238,3.050601,3.098344,3.634477,2.679355,4.085852,1.951936474,0.742749353,3.175155144,0.67661054,2.497255259,2.873569226,3.476926712,2.957311769,1.540301,1.072714,1.182268,1.203112,1.617623,1.523805,1.34853,1.164041,1.212965,2.472506,2.164124,1.728282,1.69575,1.91123,1.930123,1.990959,1.757994,2.331073,2.707382,2.481982,2.210138,1.762965,2.240871,2.01154
1.055543,1.048076,1.052167,1.025635,1.053596,1.052913,0.998189,0.998809,0.987055,0.984474,0.997211,3.829944,1.018014,1.225449,1.973327,2.618538,1.761669,3.590169,2.939363,2.76756,3.844377,3.107393,3.22708,3.285786,2.984906,3.084006,3.454125,2.611577,3.981404,1.924555883,0.721077435,3.136680763,0.643858539,2.456644466,2.847090742,3.469555435,2.90531935,1.549961,1.044768,1.207555,1.163356,1.569332,1.297708,1.23228,1.097075,1.25384,2.419543,2.15733,1.686181,1.632963,1.892456,1.830147,1.753613,1.600362,2.196783,2.582883,2.352144,2.074362,1.667365,2.078729,1.814273
1.018168,1.01452,1.025661,0.995836,1.030001,1.049054,1.001654,1.001291,1.005292,0.97675,1.010625,3.73514,0.986904,1.183603,1.860432,2.516434,1.773281,3.460789,2.882611,2.606772,3.761444,3.03426,3.294031,3.17476,2.862814,2.998212,3.273282,2.544128,3.884567,1.896944021,0.696721836,3.092314141,0.610696319,2.41638122,2.820118225,3.455122628,2.860003056,1.524407,1.037316,1.217796,1.150316,1.555472,1.138801,1.132699,1.119059,1.237436,2.362284,1.904069,1.650388,1.580314,1.859382,1.7727,1.605628,1.487621,2.101803,2.534535,2.27788,1.988546,1.597716,2.018185,1.670438
1.022267,1.013973,1.041111,0.997853,1.028094,1.021849,1.005083,1.0072,0.994533,0.981313,1.00701,3.607715,0.946798,1.134472,1.731543,2.28823,1.702885,3.362521,2.799616,2.427785,3.636031,2.954734,3.259593,3.003649,2.721151,2.887444,3.079336,2.497694,3.797403,1.89248153,0.692534093,3.072574522,0.595391354,2.388659578,2.811850838,3.468296929,2.836323197,1.499372,1.000668,1.133287,1.131565,1.487063,1.084256,1.140894,1.231044,1.187688,2.316619,1.669509,1.579108,1.513868,1.828495,1.767844,1.5458,1.463369,2.072875,2.512948,2.266472,1.959636,1.591502,1.995479,1.599199
1.021582,1.028148,1.043389,1.001605,1.024854,1.034236,1.005374,1.002374,0.99576,1.003393,1.005417,3.530522,0.927468,1.079442,1.665785,2.050476,1.632327,3.321985,2.701684,2.299478,3.490531,2.872722,3.242015,2.851838,2.579444,2.776163,2.921199,2.447121,3.733344,1.910950215,0.694742294,3.070227031,0.587117808,2.378483757,2.809931826,3.491505211,2.828213162,1.498595,1.012345,1.108009,1.105985,1.466909,1.103636,1.152539,1.875883,1.128889,2.308372,1.610255,1.528347,1.498685,1.839604,1.737336,1.457577,1.459691,2.047346,2.504795,2.26223,1.934893,1.554555,1.963477,1.523917
1.01877,1.040593,1.034277,1.001639,1.028286,1.021856,1,1,1,1,1,3.394626,0.890905,1.046481,1.573438,1.620542,1.523726,3.219136,2.553493,2.210406,3.309869,2.812048,3.188161,2.704436,2.429178,2.678391,2.785513,2.38255,3.684699,1.887250222,0.673503856,3.037446658,0.563165911,2.347178973,2.777950532,3.487047733,2.792691237,1.492146,0.99382,1.116076,1.085871,1.444672,1.199782,1.192662,1.650837,1.079729,2.291167,1.591716,1.466832,1.463509,1.798863,1.7769,1.450095,1.440516,2.04872,2.47828,2.258066,1.934282,1.537979,1.944267,1.508697
